Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
ARACEAE,Peltandra,virginica,(L.) Schott & Endl.,,,"Botanic Garden of Smith College Northampton, MA",,1998,G.J. Fritz,,
ARACEAE,Peltandra,virginica,(L.) Schott & Endl.,,,W.J. Beal Botanical Garden.  MI State Univ.,,10/5/94,G.J. Fritz,,
ARACEAE,Sauromatum,venosum,(Ait.)Kth.,,,"Botanical Garden of Bonn University, Germany",,2000,G.J. Fritz,,
ARACEAE,Sauromatum,venosum ,(Ait.)Kth.,,,"Botanical Gardens at University of Leipzig, Germany",,1998,G.J. Fritz,,
ARACEAE,Symplocarpus,foetidus,(L.)Nutt.,,,W.J. Beal Botanical Garden.  MI State Univ. Collected at Sycamore Creek Natural Area,,1999,G.J. Fritz,,
ARACEAE,Symplocarpus,foetidus ,(L.)Nutt.,,,W.J. Beal Botanical Garden.  MI State Univ.,,1/2001,G.J. Fritz,,
ARALIACEAE,Aralia,chinensis,,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
ARALIACEAE,Aralia,cordata ,Thunb. F. sachalinensis,,Seeds,"Botanic Garden of Smith College.  Northampton, MA",117,11/2009,G.J. Fritz,,NEEDS LABEL
ARALIACEAE,Aralia,medicaulis,L.,,,"Botanic Garden of Smith College.  Northampton, MA",,9/2004,G.J. Fritz,,
ARALIACEAE,Aralia,racemosa ,L.,Spikenard,,"Pickle Springs, Ste. Genevieve Co., MO",,1986,L.W. Blake,,
ARECACEAE,Chamaerops,humilis,L.,,,"Diomides Botanic Garden, Greece",,2001,G.J. Fritz,,
ARECACEAE,Chamaerops,humilis,L.,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
ARECACEAE,Livistona,chinensis,Jacq. r. Br. Ex Mart,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
ARECACEAE,Phoenix,dactylifera,L.,Date palm,,,,1977,H.C. Cutler,,
ARECACEAE,Phoenix,dactylifera ,L.,Date palm,,"Soulard Market.  St. Louis, MO",,1977,G.E. Wagner,,
ARECACEAE,Sabal,minor,Jacq. Pers.,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
ARECACEAE,Sabal,minor,Jacq. Pers.,Palmetto,,"Tensas Parish, LA",,1990,G.J. Fritz,,
ARECACEAE,Salacca,edulis,,"Salak, Snake fruit",,"Airport Fruit Stand, Chengdu, China",,1/2010,R. Spengler,,
